market,trade_date,source_type,source_granularity,source_origin,status,archive_path,sha256
futures,2021-01-05,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/01.2021/BTCUSDT-aggTrades-2021-01-05.zip,67636158ffcbe61d6a3a243e4df4c830d2cc6faa850a0904548625e9fa626eea
futures,2021-01-08,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/01.2021/BTCUSDT-aggTrades-2021-01-08.zip,7e8ee66a367235742161650300cca4e1846b6b61627b5b33e5f9df1907ab94fa
futures,2021-01-13,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/01.2021/BTCUSDT-aggTrades-2021-01-13.zip,cbdee298cfc57432f53f5641390fc964a2543238eb0dd785f3c11d1299fea40f
futures,2021-01-14,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/01.2021/BTCUSDT-aggTrades-2021-01-14.zip,1f0627c32f70170a30ce38e8c68a7be62f2fd09a9c48324761ede4e5d29c3383
futures,2021-01-22,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/01.2021/BTCUSDT-aggTrades-2021-01-22.zip,a351d40ae2c187e0e90a63578135dfd99e31a4156761ff7a5953cabbbd9eb7f6
futures,2021-01-29,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/01.2021/BTCUSDT-aggTrades-2021-01-29.zip,749644c78e9e7f210ea79c6fc8a2a686864ba147139deddec10802c5aab6c7bd
futures,2021-01-31,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/01.2021/BTCUSDT-aggTrades-2021-01-31.zip,ee3f2d401583d75941aa6488c451c8868ab7648e198b0bf4bac56d8051cd7ef6
futures,2021-02-08,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/02.2021/BTCUSDT-aggTrades-2021-02-08.zip,920f20ca80efaaf806b6de711611e5b59260c9fb8671fc20d9bc635fb2d4cbe0
futures,2021-02-10,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/02.2021/BTCUSDT-aggTrades-2021-02-10.zip,bf978582464cda904faa555e8894beed0ac691cb2fc5f43851be537f308a9452
futures,2021-02-21,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/02.2021/BTCUSDT-aggTrades-2021-02-21.zip,d383a91c02278a92996f6df4ec3fa035e7377e0f41d8d498824e73f3a75bef04
futures,2021-02-28,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/02.2021/BTCUSDT-aggTrades-2021-02-28.zip,36252e87480b0b668984fee468afafec3375f91501a3d376c9b3ed66a41991fe
futures,2021-03-13,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/03.2021/BTCUSDT-aggTrades-2021-03-13.zip,64a2b28ea38b5e9a7891e65876e8ad8059e2d0ce7562bb591d728d21e4b38bed
futures,2021-03-26,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/03.2021/BTCUSDT-aggTrades-2021-03-26.zip,0207be023d48e71cb8118c1e95976c264a17242c7cd3a4a4c7498d32203b98b2
futures,2021-04-14,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/04.2021/BTCUSDT-aggTrades-2021-04-14.zip,b59020ff8d9e0e007bc6266d546171565cecc889998218f069a921f48825799c
futures,2021-04-25,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/04.2021/BTCUSDT-aggTrades-2021-04-25.zip,dc3f991884f81de29d0762e46b95fbaacfb02ddbc3a46e6ea26a310e679cdd89
futures,2021-05-10,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/05.2021/BTCUSDT-aggTrades-2021-05-10.zip,ab3caa06a855fd0ccb0f79fb3013def835e5b8143fa437f7916fedd723017a4f
futures,2021-05-19,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/05.2021/BTCUSDT-aggTrades-2021-05-19.zip,f9857256aae14cf78d76959d84408a881a9b6c8e8bfe214c86f12bcc80eb5bbb
futures,2021-05-21,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/05.2021/BTCUSDT-aggTrades-2021-05-21.zip,9d031a7dff8640bb56cc144a00c459bde58db04b6f375787feeb5b121c807d80
futures,2021-05-23,aggTrades,agg_trade,legacy_local_daily_aggtrades,primary,/Users/yeshevika/Documents/Codex/2026-05-30/sfp-vah-val-poc-cvd-one/tick data/2021/05.2021/BTCUSDT-aggTrades-2021-05-23.zip,3c766a1e668d0061d6ec033038188ccf7de8432217cb3b95ddc87a48a7530805
