open_datetime,close_datetime,close,regime,current_extreme
2022-11-09T00:00:00+00:00,2022-11-09T23:59:59.999000+00:00,15905.0,bear,2022-11-09T00:00:00+00:00|15462.6
2022-11-10T00:00:00+00:00,2022-11-10T23:59:59.999000+00:00,17588.0,bear,2022-11-09T00:00:00+00:00|15462.6
2022-11-11T00:00:00+00:00,2022-11-11T23:59:59.999000+00:00,17058.3,bear,2022-11-09T00:00:00+00:00|15462.6
2022-11-12T00:00:00+00:00,2022-11-12T23:59:59.999000+00:00,16806.9,bear,2022-11-09T00:00:00+00:00|15462.6
2022-11-13T00:00:00+00:00,2022-11-13T23:59:59.999000+00:00,16321.2,bear,2022-11-09T00:00:00+00:00|15462.6
2022-11-14T00:00:00+00:00,2022-11-14T23:59:59.999000+00:00,16605.2,bear,2022-11-09T00:00:00+00:00|15462.6
2022-11-15T00:00:00+00:00,2022-11-15T23:59:59.999000+00:00,16888.3,bear,2022-11-09T00:00:00+00:00|15462.6
2022-11-16T00:00:00+00:00,2022-11-16T23:59:59.999000+00:00,16650.6,bear,2022-11-09T00:00:00+00:00|15462.6
2022-11-17T00:00:00+00:00,2022-11-17T23:59:59.999000+00:00,16682.1,bear,2022-11-09T00:00:00+00:00|15462.6
2022-11-18T00:00:00+00:00,2022-11-18T23:59:59.999000+00:00,16689.7,bear,2022-11-09T00:00:00+00:00|15462.6
2022-11-19T00:00:00+00:00,2022-11-19T23:59:59.999000+00:00,16692.9,bear,2022-11-09T00:00:00+00:00|15462.6
2022-11-20T00:00:00+00:00,2022-11-20T23:59:59.999000+00:00,16272.6,bear,2022-11-09T00:00:00+00:00|15462.6
2022-11-21T00:00:00+00:00,2022-11-21T23:59:59.999000+00:00,15773.0,bear,2022-11-21T00:00:00+00:00|15443.2
2022-11-22T00:00:00+00:00,2022-11-22T23:59:59.999000+00:00,16220.6,bear,2022-11-21T00:00:00+00:00|15443.2
2022-11-23T00:00:00+00:00,2022-11-23T23:59:59.999000+00:00,16595.8,bear,2022-11-21T00:00:00+00:00|15443.2
2022-11-24T00:00:00+00:00,2022-11-24T23:59:59.999000+00:00,16592.4,bear,2022-11-21T00:00:00+00:00|15443.2
2022-11-25T00:00:00+00:00,2022-11-25T23:59:59.999000+00:00,16516.1,bear,2022-11-21T00:00:00+00:00|15443.2
2022-11-26T00:00:00+00:00,2022-11-26T23:59:59.999000+00:00,16449.2,bear,2022-11-21T00:00:00+00:00|15443.2
2022-11-27T00:00:00+00:00,2022-11-27T23:59:59.999000+00:00,16422.6,bear,2022-11-21T00:00:00+00:00|15443.2
2022-11-28T00:00:00+00:00,2022-11-28T23:59:59.999000+00:00,16204.5,bear,2022-11-21T00:00:00+00:00|15443.2
2022-11-29T00:00:00+00:00,2022-11-29T23:59:59.999000+00:00,16433.2,bear,2022-11-21T00:00:00+00:00|15443.2
2022-11-30T00:00:00+00:00,2022-11-30T23:59:59.999000+00:00,17153.3,bear,2022-11-21T00:00:00+00:00|15443.2
2022-12-01T00:00:00+00:00,2022-12-01T23:59:59.999000+00:00,16970.5,bear,2022-11-21T00:00:00+00:00|15443.2
